Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
Movo,,https://movo.com,,,,,,,,,,,,,
Mozn Systems For ICT,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/e90a7757c0154c6ba0b8c13cb6397244.png.webp?VersionId=7ztGLoOYyeCKD.GF9pHnvtATdxQRkM0F&amp;itok=eMg1MvDq,mozn.ai,Exhibitor,H4.F50,Saudi Arabia,"Other; Technology, Software and IT Services","Cybersecurity, Aerospace and Defence; Financial Services and Fintech; Technology & Telecommunications",Africa; Asia; Europe; MENA; UK and Ireland; Middle East,"Series C, D+; Pre-IPO",B2B; B2G,2017,250-500,mozn,,"MOZN is an enterprise AI platform that enables organizations to make critical and informed decisions, in two key high assurance domains:Financial Crime PreventionEnterprise Knowledge IntelligenceSupported by an expert-led forward-deployed team. Our technologies are built for global scale while adapting to the realities of every market we serve."
Mqwel Plus,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/02fb842f3e0e47a49812e57502d4a23f.png.webp?VersionId=mt6lzXTX5nrNNlzc2Cp5Kqb9E.oKH0l.&amp;itok=UVsSf7wC,https://mqwel.com/,Exhibitor,H1A.F50,Oman,Other; Real estate,,Middle East,Seed,B2B,2024,1-5,,mqwelplus,"Moqawel Plus is an intelligent platform that unifies the management of construction companies and their projects, transforming scattered data into actionable insights and workflows using AI—enabling contractors to manage better and make faster decisions."
MRFQ,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a53ded9aeb47440ea64d427011962bea.png.webp?VersionId=2Ey9y91C1WARj9deoY1Ak2UyWCxybfKQ&amp;itok=0dvvji5I,https://app.mrfq.sa,,,,,,,,,,,,,
Ms Giraffe Entertainment Co.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/94781c242ec14922ab96d6cbeac3e9d3.png.webp?VersionId=abumQXeCq15iu1z8r7HRYU5RR.1Kx_zW&amp;itok=OEVigm2f,https://msgiraffe.com,,,,,,,,,,,,,
MSI (Mobile Systems International),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://us.msi.com,Exhibitor,H5.J40,United Kingdom,"Consulting and Advisory; Technology, Software and IT Services; Telecommunications",,UK and Ireland; Middle East,,B2B,1989,100-250,,,"Established in London in 1989, MSI is a global technology and consultancy company delivering digital transformation, intelligent platforms, and specialized technology solutions. From our roots in telecommunications, we have evolved into a broader technology partner, combining decades of engineering expertise with digital innovation to help organizations modernize operations, automate complex processes, and make better use of data.Today, MSI designs and delivers smart digital platforms that transform how organizations operate and deliver services. Our capabilities span end-to-end process automation, workflow management, AI-powered solutions, data analytics and visualization, performance and SLA monitoring, and specialized digital applications. Through our INSIGHT platform family, including ClearView and PrimeSight, we provide flexible solutions that can be tailored to complex operational and regulatory environments.Alongside our growing digital portfolio, telecommunications remains a part of MSI’s business. We continue to provide specialized services across network planning and optimization, end-to-end performance optimization, benchmarking, network audits, interference management, indoor network planning, drive testing, and regulatory services. This combination of established telecom engineering capabilities and modern digital technologies enables MSI to address complex transformation challenges from both operational and technology perspectives.Behind this evolution is the same foundation that has defined MSI for more than three decades: deep technical expertise, strong partnerships, and an international team of experienced consultants and technology specialists. Our telecommunications heritage remains an important part of our DNA, providing the engineering discipline and complex systems experience that today underpin our digital transformation and smart platform solutions across government, enterprise, and network environments."
MSTND | مستند,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/62ca593c4e354b0786ec89698a968eb0.jpeg.webp?VersionId=HAj6xNW_.RvKSLVRlPpBw6AxClH4ora5&amp;itok=nWHg7oDG,https://mstnd.net,,,,,,,,,,,,,
MTS Enterprise,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1afd2a2dcad94a939ef5f4a2bdb41fbc.png.webp?VersionId=n9E08gQX8uwKzmXpb0u3JWkKyQsqTRUp&amp;itok=VM389EWj,https://mtsenterprise.com/,Exhibitor,H3.E186,Egypt,"Technology, Software and IT Services",,Africa; MENA,,B2B; B2G,1985,51-99,mtsenterprise,,"MTS Enterprise is a leading ICT and digital transformation company with 20+ years of experience. We deliver Agentic AI, Field Service Management, Unified Trouble Ticketing, Project Management, and Banking solutions across Egypt, GCC, and Africa."
MUATHIRUN,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://muathirun.com,Exhibitor,H3.C138,,,,,,,,,,,
Mujeeb,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://mujeeb.sa,,,,,,,,,,,,,
Murshdk Company for Toursim,,https://murshdk.com,,,,,,,,,,,,,
Musicality Beats,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/67db9d1a37344b5cb2889f0289acf6c9.png.webp?VersionId=XvjGwFsVecrcqwBC5_XGcvFd2iZP2i37&amp;itok=TYn3iarN,https://musicalitybeats.com,,,,,,,,,,,,,
Mustahaq,,https://mustahaq.com,,,,,,,,,,,,,
Mutim for Business Services,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/e04b37ff7ae9487c834b2f449be61e61.png.webp?VersionId=Bzm_Ik66lSowaQ36uXcSKhdRbMt6wlGY&amp;itok=7lWGTgwF,https://mutimresources.com,,,,,,,,,,,,,
MX Omega Technologies FZE,,,Exhibitor,H3.F148,,,,,,,,,,,
MyCatering,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/784691cbd3fb47bf8c96105875f474b8.png.webp?VersionId=IXA5fUchMvRKG8zVjjjA6DuNa3H4GXL1&amp;itok=v_wkXWNG,https://myecatering.com,,,,,,,,,,,,,
MyTM Information Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/68051017e5654b60a5f24a868da0d17f.png.webp?VersionId=MH6AivrPssIApVSpcwKp5lWIohk00JJN&amp;itok=7iOCati-,https://mytm.co/,Exhibitor,H3.E100,Saudi Arabia,"Financial Services and Banking; Technology, Software and IT Services",,Asia; Europe; MENA,,B2B; B2C; B2G; B2B2C,2018,100-250,about,,"MYTM is a global fintech infrastructure company helping banks, NBFIs, lenders, fintechs, and enterprises build and scale digital financial services. Our platform brings together digital wallets, payment infrastructure, lending technology, KYC/KYB, AML, workflow automation, disbursements, collections, and financial integrations in one scalable ecosystem.With operations across multiple markets, MYTM combines configurable technology, in-house deployment, and end-to-end support to help organizations launch faster, automate complex financial workflows, and deliver secure, compliant digital experiences."
Mytpe.app,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/eddab7fdbe7741ce92773cba3045b6fd.png.webp?VersionId=dm6crnIqbyx.9RtSnX.2ZQmIFufux1Y9&amp;itok=ROgCSEAU,https://mytpe.app/en,Exhibitor,H1A.G30,Saudi Arabia,"Financial Services and Banking; Investment and VC; Technology, Software and IT Services",,Africa; MENA; Middle East,Series A,B2B; B2C; B2B2C,2024,6-10,mytpe,mytpe.app,"MyTPE Pay is an Algerian fintech that makes payment acceptance simple for merchants and businesses. Certified by SATIM and licensed by GIE Monétique, it is built around a proprietary innovation: the VPT — Virtual Payment Terminal — which replaces physical card readers and lets any business take a payment anywhere, with no hardware and no setup cost.MyTPE is also the official Zakat collection solution, through its Zakat Pay module.On top of this foundation, the platform delivers a catalogue of industry-specific modules: insurance, delivery companies, B2B distributors, restaurants, travel agencies, and many more. Each module is a world of its own, designed around the operational and regulatory realities of its sector.Now adopted by major Algerian enterprises, MyTPE is scaling rapidly and preparing its expansion across Africa and the Middle East.Every module is a new universe."
Nabrah.AI,,https://nabrah.ai,,,,,,,,,,,,,
Nahil Cloud,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/f6843bf55aca4564b16d528b9178fd72.png.webp?VersionId=ud5GzFYlCIBCzEVyye5OEScn3yRZCJqK&amp;itok=LUWXZCU-,,Exhibitor,H1.B50,Saudi Arabia,,,Middle East,,B2B,,,nahilcloud,,"Nahil Cloud, part of Nahil Computers with 40+ years of enterprise IT expertise, is a Saudi-based cloud practices company and an Advanced AWS Partner. We provide AWS Subscriptions, Cloud Practices, including Business Continuity & Disaster Recovery and AI Agent Development, Customer Success Practice, and Managed Workforce, keeping organizations resilient and aligned with Vision 2030."
NAHIL COMPUTERS,,https://nahil.com.sa,Exhibitor,H1.L40,,,,,,,,,,,
Nahil Computers Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/364e1f791f034e2982230c732cc59cb7.jpeg.webp?VersionId=glNpGZW1.nzrMLzcIZdeskT9hHNMZ57G&amp;itok=ANJKzBEe,www.nahil.com.sa,Exhibitor,H3.H10,Saudi Arabia,,,,,,,,nahil-computers,,"In 1984, Nahil Computers Company (NCC) was established as a privately held organization, operating from a single office in Riyadh with a staff of less than ten. Today the company is represented, Kingdom-wide as an organization with three branches throughout the kingdom. We maintain exclusive and, non-exclusive distributorship, corporate reseller, system reseller and system integrator agreements for the supply, commissioning and installation of IT related products, from world renowned brands. Partners include as HP, HPE, Dell, Lenovo, & Microsoft. Nahil has around 500 active clients in Saudi Arabia from different sectors We complete around 800 projects per year."
NAI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/e7c84a7f6d7e4420b576b964050ce37c.jpeg.webp?VersionId=_HSH8q8I6L2vllNzA1KKkYgsALAfAvXy&amp;itok=1j1oRdr0,,Exhibitor,H3.G160,,"Technology, Software and IT Services",,MENA,Pre-Seed,B2B2C,,,,,"NAI is an AI services and automation company focused on helping organizations move from AI interest to AI-enabled operations. We do not stop at introducing tools. We work with teams to identify where AI creates value, integrate it into real workflows, and support adoption until it becomes part of daily execution. Our approach is practical: discover the process, design the right AI layer, build and integrate the solution, train the people who will use it, and continuously optimize performance."
Najeeb.AI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://najeeb.ai,,,,,,,,,,,,,
Namat,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1dbc91ffdf954449a36a6f14013e8392.png.webp?VersionId=j8usYyk4ZZrhHGACTzpYbPw7CPeI7mLA&amp;itok=K8UU_fJt,https://namattech.com/,Exhibitor,H5.A48,Saudi Arabia,"Technology, Software and IT Services",,Middle East,,B2B,,11-20,namatsaudi,namatsaudi,"We empower businesses with advanced cloud, AI, and cybersecurity solutions rooted in Saudi Vision2030. Partnering with enterprises and public organizations, we turn digital ambitions into reality—modernizing operations, securing ecosystems, and driving sustainable growth."
NanoPalm,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7b5d2573c0064663865bf3afda9ac8b0.png.webp?VersionId=xG8DeN2pl_0rsvPMLD3K9f_tMcjfGrAm&amp;itok=ANdNa0bI,https://nanopalm.ltd,,,,,,,,,,,,,
Naseej for Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1560d235876441a69c3d1e906c3e6131.jpeg.webp?VersionId=V5K6P6loe4HKjQB5wKGOUwOl51DjehrW&amp;itok=GKnI6CVA,www.naseej.com,Exhibitor,H2.R41,Saudi Arabia,"Consulting and Advisory; Education, Academia and Research; Technology, Software and IT Services; Telecommunications","Cybersecurity, Aerospace and Defence; Technology & Telecommunications",Africa; Europe; MENA; Middle East,,B2B; B2G; B2B2C,1989,100-250,naseej-aas,,"Naseej is a leading technology company committed to harnessing the power of digital transformation in learning & knowledge management. Naseej enables digital transformation by solving digital challenges, with emphasis on challenges specific to the region, and developing solutions that enhances the user experience while reducing the technical burden on our customers enabling them to focus on achieving their strategic objectives. Naseej’s portfolio of digital transformation solutions & services serves academic institutes, cultural & knowledge centers, and government & corporates, and include solutions such as MEDAD Cloud Platforms, e-Services Platforms, Business Process Automation, and more. The experience and expertise Naseej gained over its more than three decades of operations, not only resulted in its technical proficiency and operational excellence, but also provided Naseej with a deep understanding of the digital transformation needs of organizations in the region and the operational realties and challenges they face. Naseej’s commitment to creating long-lasting partnerships with its customers has made Naseej the choice of hundreds of organizations seeking a reliable partner, innovative technologies, and a positive return on their technology Investment and VC. For more information about Naseej please visit www.naseej.com"
NASS Al IRAQ HOLDING,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/3b4785aa94854c858df159fb1a139f2f.jpeg.webp?VersionId=W1j3OoK6eb_1Gj896zd.CqapGxbU91L4&amp;itok=jiei3JpA,ni.iq,Exhibitor,H3.G160,IQ,,,Asia; Europe; Middle East,,B2B; B2G,,500+,nassiraq,nassiraq,"NASS AL-IRAQ holding is a conglomerate of subsidiaries that establish and empower business strategies via Innovation, modern management, and digital transformation."
NATCOM,,https://natcom.com.ht,Exhibitor,H2.L40,Saudi Arabia,"Technology, Software and IT Services",,Middle East,,,1981,100-250,,,
National Housing Services Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/03c7723cc1204f179dbdbe84246f6c35.png.webp?VersionId=_SoqKqSSRNZRLxZG44DmauzUoijyexFr&amp;itok=cv5bJtX6,www.nhci.sa,Exhibitor,H1.L90,Saudi Arabia,"Technology, Software and IT Services",,,,,,,haithamhammadi,haithamhammadi,
National Industrial Development & Logistics Program (NIDLP),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/cfe27d2e174447dc9e1b4f46e67afbe4.jpeg.webp?VersionId=460OkUId8wiPHiDdvE4k1qOrFpgzgRqr&amp;itok=foAQZSgm,Https://www.jfco-sa.com,Exhibitor,H1A.F30,Saudi Arabia,"Technology, Software and IT Services",,Asia; Middle East,Seed,B2B; B2G,2020,6-10,Al-Jazeera-Falcons,,"Saudi deep-tech company developing AI-powered solutions integrating Digital Twins, UAVs, Remote Sensing, and Command & Control for smart cities, airports, and security."
NatQuest,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://nat-quest.com,,,,,,,,,,,,,
NAVAIA Solutions,,https://navaia.com,,,,,,,,,,,,,
Naver Innovation,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/8c839360fc5c4f67860f03d7ecb464b3.png.webp?VersionId=B2JPCAMZDz_hqhzKHXkH6fe.nw3PzhvJ&amp;itok=YN3CSb39,https://www.naverinnovationcorp.com/,Exhibitor,H1.L90,South Korea,"Technology, Software and IT Services",,MENA,N/A,B2B; B2C; B2G,2025,11-20,naver-innovation,,"NAVER Innovation delivers innovative digital platforms and technology solutions that enhance everyday life across Saudi Arabia and the MENA region. Together with NHC and NAVER Cloud, we are building trusted digital platforms powered by AI, cloud, maps, digital twins, smart city technologies, and robotics for the Kingdom’s connected future. Learn more at www.naverinnovationcorp.com."
Navigate Saudi,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://navigatesaudi.com,,,,,,,,,,,,,
Navigators Software Pvt Ltd,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/2653d92cac53424dbc95e20b79a7aed8.jpeg.webp?VersionId=Uy.hNY7QO9vpmenpMjzqPjr3zwHp5Fnp&amp;itok=tfq6W1sb,https://www.navsoft.ai/,Exhibitor,H3.E88,India,"Technology, Software and IT Services",AI & Deep Tech; Technology & Telecommunications,Africa; Asia; Europe; LATAM; MENA; North America; South America; UK and Ireland,N/A,B2B,1999,250-500,,,"Navsoft is an enterprise AI and technology solutions company helping organizations operate smarter in a complex digital world. Through NavAI, our AI-first platform, we integrate intelligence with existing systems and data to enable real-time insights, automation, and smarter decision-making. With deep expertise across enterprise platforms, data, and cloud, we help businesses move beyond dashboards toward autonomous, AI-driven operations that scale with growth."
Navlungo,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://navlungo.com,Exhibitor,H1A.G50,,,,,,,,,,,
NC AI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/d4060efa6976435fad60001e86c63248.jpeg.webp?VersionId=3_XESFBfnEBKqyIO1Glp0r_Ay6Hi6hUL&amp;itok=mFZemYiT,https://nc-ai.com,Exhibitor,H5.H50,South Korea,"Technology, Software and IT Services",,Asia,,B2B2C,2011,100-250,nc-ai,ncai_official,"NC AI builds AI that makes industrial innovation real.Since 2011, when we set up Korea's first corporate AIorganization, we have grown on our own LLMs and VLMs.From games to media, content, manufacturing and retail,our technology drives AXand innovates industry worldwide."
Nebelus,,https://nebelus.ai,,,,,,,,,,,,,
NeoSoft Pvt Ltd,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5f03829f2c7646b4b7a8339660f4189e.jpeg.webp?VersionId=xq26CD4QHoMFBkYvcOgBTgh4Ds8OKPHP&amp;itok=HReLBi9V,https://www.neosofttech.com,Exhibitor,H3.D169,India,"Financial Services and Banking; Technology, Software and IT Services",Agriculture and Food; AI & Deep Tech; Financial Services and Fintech; Retail & Consumer Goods; Technology & Telecommunications,Africa; Asia; Europe; LATAM; North America; Oceania; UK and Ireland,,B2B,,,,,"NeoSOFT is a globally renowned CMMI Level 5 global IT Consulting and a digital accelerator to startups, SMEs, MSMEs, and large enterprises. We are headquartered in Mumbai with a presence in 21 offices across 10 territories. Established in 1996, our tradition of driving success has enabled us to serve over 1500+ clients with 7500+ successful projects across 22+ diverse industries and a client retention rate of 85%. Backed with an impeccable portfolio built over 25+ years, our depth of resources includes over 4000 engineering professionals with capabilities spanning IT Consulting, Strategy Planning & Execution, Business Process Re-engineering, IT Modernization, and Business Analysis Consulting, our solutions are meticulously designed and customized to answer the varying needs of each business we partner with."
Nep Space Group,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/064134c2bb2a45b28295128a6068babe.png.webp?VersionId=v20ZthX_BijCfIRitRXF12ItopoFw3Hi&amp;itok=-OJbDr8a,https://neospacegroup.com/,Exhibitor,H2.J10,Saudi Arabia,Telecommunications,Technology & Telecommunications,MENA,,B2B; B2G,,,neospacegroup,neospacegroup.sa,"Neo Space Group (NSG) is Saudi Arabia’s national space champion company and a wholly owned subsidiary of the Public Investment Fund (PIF). Headquartered in the Kingdom, NSG delivers commercial satellite-enabled services that support national priorities, private-sector growth, and the objectives of Saudi Vision 2030. NSG focuses on turning space infrastructure and data into operational, scalable solutions for government and enterprise customers.NSG operates across three core business domains:- Satellite Communications: including Government & Defense Communications and Aviation In-Flight Connectivity.- Geospatial Intelligence: including data marketplace, downstream analytics, and a broad ecosystem of value-added services supported by diversified upstream satellite networks.- Positioning, Navigation & Timing (PNT): By combining strategic partnerships, global platforms, and local capability development, NSG plays a central role in enabling Saudi Arabia’s downstream space economy."
NerdFlow ONE,,https://nerdflow.tech,Exhibitor,H3.E108,Pakistan,"Technology, Software and IT Services",,Europe; North America,No Funding Yet/Bootstrapped,B2B; B2C,2023,21-50,,,
Nestimate,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b43604c27cfc4c229143ab8b5f608390.png.webp?VersionId=4QawnQf3rSDc8Znx5E28NcYe47lj15XG&amp;itok=4ot6QZbl,https://mynestimate.com,,,,,,,,,,,,,
Net Zero Build,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/837507a15def47ef8b08bc754fbc1b53.png.webp?VersionId=uqk9v74qg8_zg4sEzQTJWCBnyDfQIyJJ&amp;itok=VlgjTalz,https://netzerobuild.ai,,,,,,,,,,,,,
NetApp,,https://netapp.com,Exhibitor,H1.F30,Saudi Arabia,,,,,,,,,,
Netkit,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/4d0c9c0375af42f0a4d103811ed2d55b.jpeg.webp?VersionId=oieUDtL6JXhKqhyAhJIOz1fJmpwALYMq&amp;itok=At4MemxP,https://www.netkit.sa,Exhibitor,H2.L40,Saudi Arabia,"Technology, Software and IT Services",,Middle East,,,2023,6-10,netkit-sa,,
Netways,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/ff896239189145c6aafb25d1f1f214da.png.webp?VersionId=zCggmNaN_immPE8CX4oCHdvF7OSKrgxT&amp;itok=MoYHMYsG,https://netways.com,Exhibitor,H4.E70,Saudi Arabia,"Technology, Software and IT Services",,MENA,No Funding Yet/Bootstrapped,B2B; B2G,1996,500+,netways,globalnetways,"Netways is a recognized leader in the AI-driven transformation space operating across the Middle East. With a wide portfolio of solutions and accelerators, Netways empowers organizations to achieve Intelligent Digital Transformation— enhancing business efficiency, reducing operational costs, and creating competitive differentiation. We serve diverse industries including public sector, healthcare, finance, manufacturing, and education, while maintaining strategic partnerships with leading global vendors and software providers. Netways actively drives digital innovation across the region by delivering tailored solutions such as customer and partner portals, intranets, websites, and e-commerce platforms while leveraging the power of Liferay DXP technologies. Backed by a proven track record of large-scale project implementations, deep technical expertise, and extensive regional presence, Netways enables businesses to accelerate the adoption of intelligent digital experiences through advanced AI and data capabilities."
Netways Company Ltd,,https://netways.com,Exhibitor,H1.E30,,,,,,,,,,,
Neuroviaai,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/25349e3b696b46b38c131a595fcf2ce5.png.webp?VersionId=M5P4Bav7lHoAiucNVRfTi4y2JpnLqb4h&amp;itok=dehAf9nC,https://neuroviaai.ae,Exhibitor,H3.D61,,,,,,,,,,,
New South Wales Government - Australia,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.investment.nsw.gov.au,Exhibitor,H3.H160,Australia,Other,,Oceania; Middle East,N/A,B2B2C,1901,500+,investment-nsw,,"The New South Wales Government - Australia is showcasing capabilities of five leading technology companies at LEAP 2026:GravityOne: A technology company specializing in AI, data and digital solutions to automate processes, improve decision-making and accelerate digital transformation.iOmniscient: AI-powered computer vision and video analytics solutions for smart cities, public safety, transport and security.Katonic: AI platform enabling organizations to deploy intelligent AI agents and automate knowledge-intensive workflows.Sencity: Technology and creative company developing AI-powered interactive systems to transform public spaces and urban environments.SCATS: Sydney Coordinated Adaptive Traffic System is an intelligent traffic management solution using real-time data to optimize traffic signals, improve flow and reduce congestion.Together, these companies showcase Australia’s world-class technology and innovation capabilities, offering solutions aligned with Saudi Arabia’s Vision 2030 across smart cities, AI, digital transformation, intelligent mobility and data-driven innovation.If you are looking for specific technology capabilities beyond those highlighted above, we can also help identify relevant companies and solutions to meet your requirements."
New Taipei City,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://newtaipei.travel,Exhibitor,H3.C190,,,,,,,,,,,
New Taipei City Computer Association,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/2b549a4c48f9455db559feaeb2cd462f.jpeg.webp?VersionId=VV5VI0w2o4WVkDHG76ktEixBCPOBzM9O&amp;itok=8AUgo8BI,https://newtaipei.travel,Exhibitor,H3.C190,TW,,,,,,1987,6-10,,,"New Taipei Computer Association (NTCA) is a non-profit industry association committed to promoting international business collaboration and industrial innovation. In partnership with the New Taipei City Government, NTCA organizes global trade missions, B2B matchmaking events, and international exhibitions, connecting Taiwanese companies with partners and buyers worldwide while supporting innovation, smart manufacturing, AI, and sustainable development."
NexaGuard,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/afb9ee15ad1646eb9dd2b4308db2aa52.jpeg.webp?VersionId=gKEZ4QKHJ4hH4yA5qC6yBlGB8HERzit5&amp;itok=uSjovmWy,https://nexa-guard.ai,,,,,,,,,,,,,
Nexera By Empower,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1063c0645db744d98f43281f4845f999.jpeg.webp?VersionId=lcAPmyCXlBftW.KQLUOyinHyznFHd5xc&amp;itok=xr6EAVmg,https://nexera.health,,,,,,,,,,,,,
Next Level Tech LLC - GuiderX,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c215d257eb81485792fa7a5b88af60b4.png.webp?VersionId=x_CZEFwZ4lqAEWY3f9I1B90SIGvDbnYE&amp;itok=949AUBk_,https://guiderx.co/,Exhibitor,H1A.F50,Oman,"Entertainment and leisure; Hospitality, Travel and Tourism; Technology, Software and IT Services",,Africa; MENA,Pre-Seed,B2B; B2C; B2B2C,2025,6-10,guider-x-7831a1348,guiderx.co,"GuiderX is an on-demand tour guide booking platform connecting travelers with verified local guides across the MENA region instantly in Real-Time via live map. often described as ‘Uber for guided experiences.” Born in Oman and now scaling across MENA, GuiderX combines instant-booking technology with a B2B2C API/SaaS layer that lets hotels, DMCs, and tourism boards embed guided-experience booking directly into their own platforms to be introduced in Q4. With 200+ verified guides and 70+ tour operator partnerships already live. GuiderX is targeting Saudi Arabia as its first regional expansion market. in support of Vision 2030's tourism goals — offering white-label booking infrastructure and real-time guide-matching technology for KSA giga-projects, heritage sites, and hospitality sector."
Nextbridge Ltd,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a059d03e8c134fed85ff89f158fc8218.jpeg.webp?VersionId=nIsK5iPugFb6C3HW1wIqi.fDNF2nTvUh&amp;itok=tL1sPTwG,https://nextbridge.com,Exhibitor,H3.I170,Pakistan,"Technology, Software and IT Services",,Europe; MENA; North America; South America; Middle East,,B2B,1993,500+,nextbridge,nextbridgelife,"Nextbridge has been building software and scaling engineering teams for global clients since 1993 over three decades of experience, now 450+ engineers strong out of Lahore, with offices in Irving, TX and Dubai. We're not a bodyshop; we're a technology partner that's shipped everything from enterprise platforms to our own AI products, including AQLAI, our Conversational BI platform. At LEAP, we're here to show Saudi and Gulf enterprises that world-class engineering talent and AI capability can come from Pakistan reliably, at scale, without the usual outsourcing trade-offs."
Nextcloud GmbH,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/95919cd50a9e42dba5abd8178c2e7dc9.png.webp?VersionId=DTAGS73HI7mWjOIlxIWS5J61THnFNTJN&amp;itok=PnEsplgo,https://nextcloud.com/,Exhibitor,H3.D130,Germany,"Technology, Software and IT Services","Technology & Telecommunications; Cybersecurity, Aerospace & Defense",Asia; Europe; North America; Middle East,,B2B; B2B2C,2016,100-250,10827569,nextclouders,"Nextcloud provides a secure, open-source platform for collaboration, file sharing, and productivity while giving organizations full control over their data. Designed for privacy, compliance, and digital sovereignty, it enables enterprises and public institutions to work efficiently without vendor lock-in. With a rich ecosystem of apps and strong security features, Nextcloud offers a flexible, self-hosted alternative to proprietary cloud services."
Nexthink,,https://nexthink.com,Exhibitor,H1.B50,,,,,,,,,,,
Nighat,,https://nighatech.com,Exhibitor,H1A.E50,,,,,,,,,,,
